"Label (Grouping)","Workers 16 years and over","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Drove alone","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 2-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 3-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 4-or-more person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Workers per car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab)","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Walked","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Bicycle","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Taxicab, motorcycle, or other means","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home","Workers 16 years and over!!PLACE OF WORK","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked in county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked outside county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked outside state of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked in place of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked outside place of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked in minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked outside minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in 12 selected states","Workers 16 years and over who did not work from home","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!12:00 a.m. to 4:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:00 a.m. to 5:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:30 a.m. to 5:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:00 a.m. to 6:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:30 a.m. to 6:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:00 a.m. to 7:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:30 a.m. to 7:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:00 a.m. to 8:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:30 a.m. to 8:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!9:00 a.m. to 11:59 p.m.","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Workers 16 years and over in households","VEHICLES AVAILABLE!!Workers 16 years and over in households!!No vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!1 vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!2 vehicles available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!3 or more vehicles available","PERCENT ALLOCATED","PERCENT ALLOCATED!!Means of transportation to work","PERCENT ALLOCATED!!Private vehicle occupancy","PERCENT ALLOCATED!!Place of work","PERCENT ALLOCATED!!Time of departure to go to work","PERCENT ALLOCATED!!Travel time to work","PERCENT ALLOCATED!!Vehicles available"
"        Margin of Error","±119","","±11.3","±13.3","±8.6","±5.1","±5.3","±4.1","±0.08","±11.4","±7.7","±7.7","±1.5","±3.0","","±7.7","±4.3","±4.3","±7.7","±7.7","±13.8","±13.8","±7.7","±7.7","±7.7","±7.7","±7.7","±120","","±11.6","±5.3","±4.2","±7.4","±5.4","±12.3","±4.6","±11.4","±4.4","±13.5","","±8.2","±3.9","±11.3","±14.3","±5.6","±4.9","±4.5","±5.7","±13.3","±6.1","","±118","±5.1","±13.1","±16.8","±15.9","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 9005.06, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,466","","92.2%","80.9%","11.3%","10.4%","0.0%","0.8%","1.07","4.1%","0.1%","0.0%","0.0%","3.6%","","99.6%","97.4%","2.2%","0.4%","100.0%","47.2%","52.8%","0.0%","0.0%","0.0%","0.0%","100.0%","1,413","","10.0%","9.9%","2.0%","20.8%","0.5%","29.4%","6.7%","5.0%","0.8%","14.8%","","3.4%","22.6%","23.8%","9.3%","0.3%","4.0%","0.6%","2.6%","33.4%","36.2","","1,463","0.4%","21.4%","50.9%","27.3%","","8.0%","8.7%","13.0%","13.1%","9.7%","0.8%"
"        Margin of Error","±198","","±5.4","±8.0","±5.9","±5.7","±2.4","±1.2","±0.04","±3.2","±0.3","±2.4","±2.4","±4.3","","±0.7","±2.2","±2.0","±0.7","±2.4","±8.7","±8.7","±2.4","±2.4","±2.4","±2.4","±2.4","±209","","±6.0","±5.0","±2.0","±8.0","±0.8","±9.8","±4.3","±5.0","±1.2","±6.5","","±2.7","±6.4","±5.8","±5.1","±1.2","±4.7","±1.1","±2.3","±9.7","±5.1","","±199","±0.7","±9.5","±13.9","±11.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","877","","94.6%","85.3%","9.4%","9.4%","0.0%","0.0%","1.05","5.1%","0.2%","0.0%","0.0%","0.0%","","99.3%","96.7%","2.6%","0.7%","100.0%","40.5%","59.5%","0.0%","0.0%","0.0%","0.0%","100.0%","877","","11.9%","11.3%","0.0%","29.3%","0.0%","17.6%","8.1%","5.5%","0.0%","16.4%","","2.2%","22.5%","14.9%","12.2%","0.5%","6.4%","0.0%","4.2%","37.2%","38.5","","875","0.7%","24.2%","47.7%","27.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±143","","±5.2","±7.8","±7.1","±7.1","±3.9","±3.9","±0.04","±5.1","±0.4","±3.9","±3.9","±3.9","","±1.2","±3.1","±2.8","±1.2","±3.9","±11.7","±11.7","±3.9","±3.9","±3.9","±3.9","±3.9","±143","","±7.3","±8.0","±3.9","±11.4","±3.9","±10.7","±5.6","±5.2","±3.9","±9.7","","±2.7","±8.8","±7.2","±7.8","±1.9","±7.3","±3.9","±3.7","±11.8","±6.0","","±143","±1.2","±12.1","±14.7","±11.6","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","589","","88.5%","74.4%","14.1%","12.1%","0.0%","2.0%","1.10","2.5%","0.0%","0.0%","0.0%","9.0%","","100.0%","98.5%","1.5%","0.0%","100.0%","57.2%","42.8%","0.0%","0.0%","0.0%","0.0%","100.0%","536","","6.9%","7.6%","5.2%","6.9%","1.3%","48.9%","4.5%","4.3%","2.2%","12.1%","","5.4%","22.8%","38.4%","4.5%","0.0%","0.0%","1.7%","0.0%","27.2%","32.4","","588","0.0%","17.2%","55.8%","27.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±144","","±10.5","±13.4","±8.0","±7.5","±5.8","±3.0","±0.06","±3.0","±5.8","±5.8","±5.8","±10.2","","±5.8","±2.7","±2.7","±5.8","±5.8","±12.6","±12.6","±5.8","±5.8","±5.8","±5.8","±5.8","±140","","±6.2","±5.7","±5.1","±8.9","±2.1","±13.4","±4.6","±5.1","±3.2","±9.1","","±5.6","±9.8","±12.7","±4.4","±6.3","±6.3","±3.0","±6.3","±13.9","±9.8","","±144","±5.8","±10.9","±16.1","±13.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 9005.07, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,696","","96.1%","87.5%","8.6%","4.2%","2.3%","2.0%","1.06","0.0%","0.9%","0.5%","0.7%","1.9%","","100.0%","95.9%","4.1%","0.0%","100.0%","54.7%","45.3%","0.0%","0.0%","0.0%","0.0%","100.0%","2,646","","10.2%","5.3%","2.0%","16.9%","5.4%","24.1%","3.3%","11.9%","1.6%","19.3%","","2.6%","14.1%","21.5%","29.5%","4.6%","5.5%","0.6%","6.8%","14.8%","27.6","","2,696","0.9%","18.1%","53.6%","27.4%","","9.1%","9.2%","11.5%","13.9%","11.0%","0.0%"
"        Margin of Error","±325","","±2.8","±5.0","±4.3","±3.0","±2.3","±1.9","±0.03","±1.3","±1.1","±0.8","±1.0","±1.8","","±1.3","±3.4","±3.4","±1.3","±1.3","±8.1","±8.1","±1.3","±1.3","±1.3","±1.3","±1.3","±331","","±4.9","±4.0","±1.6","±6.0","±3.3","±10.1","±3.1","±7.1","±2.0","±7.2","","±2.9","±6.5","±6.9","±9.2","±3.9","±3.3","±1.0","±3.8","±6.1","±3.6","","±325","±1.4","±7.3","±10.3","±8.0","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,372","","95.8%","87.6%","8.2%","5.5%","1.2%","1.5%","1.05","0.0%","1.8%","0.0%","1.3%","1.0%","","100.0%","94.8%","5.2%","0.0%","100.0%","51.8%","48.2%","0.0%","0.0%","0.0%","0.0%","100.0%","1,358","","17.1%","7.9%","2.8%","25.9%","2.9%","22.2%","4.3%","5.6%","0.0%","11.3%","","5.1%","13.3%","19.2%","26.1%","4.7%","7.6%","1.3%","4.0%","18.7%","29.3","","1,372","0.7%","11.2%","58.0%","30.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±285","","±3.2","±6.3","±5.7","±4.1","±1.9","±2.4","±0.04","±2.5","±2.1","±2.5","±1.9","±1.7","","±2.5","±5.3","±5.3","±2.5","±2.5","±12.6","±12.6","±2.5","±2.5","±2.5","±2.5","±2.5","±280","","±7.7","±6.8","±2.6","±9.2","±2.7","±12.3","±5.3","±7.2","±2.5","±6.8","","±5.5","±8.4","±9.3","±11.5","±5.3","±5.1","±2.0","±4.9","±7.4","±4.7","","±285","±1.3","±8.3","±13.7","±11.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,324","","96.3%","87.4%","8.9%","2.9%","3.5%","2.5%","1.06","0.0%","0.0%","1.0%","0.0%","2.7%","","100.0%","97.1%","2.9%","0.0%","100.0%","57.8%","42.2%","0.0%","0.0%","0.0%","0.0%","100.0%","1,288","","3.0%","2.6%","1.1%","7.5%","8.0%","26.1%","2.1%","18.6%","3.3%","27.8%","","0.0%","14.8%","23.9%","33.1%","4.4%","3.3%","0.0%","9.9%","10.6%","25.9","","1,324","1.0%","25.4%","49.1%","24.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±274","","±3.8","±6.5","±5.1","±3.5","±3.3","±2.9","±0.04","±2.6","±2.6","±1.6","±2.6","±3.2","","±2.6","±4.7","±4.7","±2.6","±2.6","±11.9","±11.9","±2.6","±2.6","±2.6","±2.6","±2.6","±278","","±4.9","±3.0","±1.7","±6.5","±6.3","±12.9","±2.5","±12.2","±3.9","±12.1","","±2.7","±8.0","±9.6","±13.5","±5.9","±3.4","±2.7","±7.4","±8.3","±4.7","","±274","±1.6","±11.0","±13.7","±9.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 9005.08, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,370","","97.4%","86.6%","10.8%","6.6%","0.9%","3.3%","1.07","0.5%","0.4%","0.0%","0.0%","1.6%","","100.0%","84.9%","15.1%","0.0%","100.0%","40.2%","59.8%","0.0%","0.0%","0.0%","0.0%","100.0%","1,348","","4.7%","7.4%","2.4%","13.2%","8.2%","27.2%","3.0%","8.2%","1.8%","23.8%","","7.1%","8.9%","31.0%","14.1%","6.7%","3.2%","5.9%","6.5%","16.7%","30.3","","1,364","0.4%","9.7%","49.7%","40.2%","","8.5%","10.6%","11.9%","13.5%","10.1%","1.9%"
"        Margin of Error","±138","","±1.8","±4.8","±4.7","±3.5","±1.0","±2.8","±0.03","±0.8","±0.7","±2.5","±2.5","±1.3","","±2.5","±5.7","±5.7","±2.5","±2.5","±8.3","±8.3","±2.5","±2.5","±2.5","±2.5","±2.5","±136","","±2.3","±3.8","±1.6","±4.5","±3.3","±5.7","±1.8","±4.2","±1.2","±4.4","","±3.2","±4.4","±6.9","±3.9","±3.5","±1.7","±3.7","±3.4","±5.1","±3.8","","±135","±0.7","±4.4","±9.7","±10.0","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","717","","96.8%","88.6%","8.2%","3.5%","1.8%","2.9%","1.06","1.0%","0.8%","0.0%","0.0%","1.4%","","100.0%","78.4%","21.6%","0.0%","100.0%","34.4%","65.6%","0.0%","0.0%","0.0%","0.0%","100.0%","707","","9.1%","10.2%","0.7%","21.1%","7.4%","18.7%","1.8%","5.9%","1.0%","24.2%","","7.8%","6.4%","29.4%","8.6%","5.0%","5.4%","7.9%","8.9%","20.7%","34.1","","717","0.8%","11.4%","47.4%","40.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±89","","±2.7","±4.8","±4.2","±2.5","±1.9","±2.2","±0.03","±1.6","±1.4","±4.8","±4.8","±1.7","","±4.8","±7.2","±7.2","±4.8","±4.8","±8.8","±8.8","±4.8","±4.8","±4.8","±4.8","±4.8","±89","","±4.2","±6.0","±1.1","±7.3","±3.9","±6.3","±1.8","±4.6","±1.4","±7.1","","±3.8","±4.4","±8.8","±4.2","±4.0","±3.2","±4.9","±4.9","±6.3","±4.8","","±89","±1.3","±5.6","±10.9","±11.0","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","653","","98.2%","84.5%","13.6%","10.0%","0.0%","3.7%","1.09","0.0%","0.0%","0.0%","0.0%","1.8%","","100.0%","92.0%","8.0%","0.0%","100.0%","46.6%","53.4%","0.0%","0.0%","0.0%","0.0%","100.0%","641","","0.0%","4.4%","4.2%","4.5%","9.2%","36.7%","4.4%","10.6%","2.7%","23.4%","","6.4%","11.7%","32.8%","20.1%","8.6%","0.8%","3.6%","3.7%","12.3%","26.1","","647","0.0%","7.7%","52.2%","40.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±107","","±2.2","±7.0","±7.1","±6.0","±5.2","±4.3","±0.05","±5.2","±5.2","±5.2","±5.2","±2.2","","±5.2","±5.1","±5.1","±5.2","±5.2","±10.1","±10.1","±5.2","±5.2","±5.2","±5.2","±5.2","±108","","±5.3","±4.9","±3.2","±3.9","±4.4","±9.8","±2.7","±7.2","±1.9","±7.4","","±3.5","±7.1","±9.2","±7.6","±6.9","±1.1","±3.5","±4.0","±6.6","±4.9","","±105","±5.3","±5.4","±11.4","±11.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 9006.02, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,689","","94.8%","88.2%","6.6%","6.0%","0.0%","0.6%","1.04","0.5%","0.4%","1.0%","0.0%","3.3%","","100.0%","93.1%","6.9%","0.0%","100.0%","63.8%","36.2%","0.0%","0.0%","0.0%","0.0%","100.0%","1,634","","7.7%","8.3%","0.6%","20.0%","6.3%","22.0%","1.4%","11.1%","3.5%","19.1%","","3.4%","14.5%","38.3%","22.0%","4.7%","1.6%","2.5%","0.9%","12.1%","24.8","","1,689","0.8%","19.8%","54.5%","24.9%","","7.2%","9.6%","9.5%","9.0%","8.3%","1.7%"
"        Margin of Error","±314","","±3.0","±4.4","±3.6","±3.5","±2.0","±1.0","±0.02","±0.9","±0.8","±1.6","±2.0","±2.5","","±2.0","±4.1","±4.1","±2.0","±2.0","±7.0","±7.0","±2.0","±2.0","±2.0","±2.0","±2.0","±313","","±4.5","±4.1","±1.0","±5.7","±5.7","±7.0","±1.2","±5.5","±3.1","±7.1","","±2.3","±6.8","±10.5","±7.4","±3.6","±1.8","±2.3","±0.9","±5.1","±3.6","","±314","±0.9","±8.1","±10.4","±9.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,038","","94.2%","86.4%","7.8%","6.8%","0.0%","1.0%","1.05","0.9%","0.7%","0.0%","0.0%","4.2%","","100.0%","89.6%","10.4%","0.0%","100.0%","62.3%","37.7%","0.0%","0.0%","0.0%","0.0%","100.0%","994","","12.7%","8.7%","0.0%","22.3%","10.4%","15.2%","2.3%","14.5%","0.7%","13.3%","","0.7%","13.0%","34.8%","25.3%","7.6%","2.6%","0.9%","0.0%","15.1%","27.2","","1,038","0.7%","19.1%","56.6%","23.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±219","","±4.2","±5.6","±4.9","±4.7","±3.3","±1.6","±0.03","±1.5","±1.3","±3.3","±3.3","±3.8","","±3.3","±6.1","±6.1","±3.3","±3.3","±10.3","±10.3","±3.3","±3.3","±3.3","±3.3","±3.3","±218","","±7.3","±5.6","±3.5","±8.4","±9.2","±8.4","±2.0","±8.6","±1.5","±7.6","","±1.4","±7.8","±13.0","±9.9","±5.9","±2.9","±1.5","±3.5","±7.0","±4.8","","±219","±1.2","±9.6","±11.7","±11.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","651","","95.7%","91.1%","4.6%","4.6%","0.0%","0.0%","1.02","0.0%","0.0%","2.6%","0.0%","1.7%","","100.0%","98.8%","1.2%","0.0%","100.0%","66.1%","33.9%","0.0%","0.0%","0.0%","0.0%","100.0%","640","","0.0%","7.7%","1.6%","16.4%","0.0%","32.5%","0.0%","5.9%","7.8%","28.1%","","7.7%","16.9%","43.8%","17.0%","0.0%","0.0%","5.0%","2.2%","7.5%","21.0","","651","0.9%","21.0%","51.2%","26.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±156","","±4.9","±6.3","±4.1","±4.1","±5.2","±5.2","±0.03","±5.2","±5.2","±4.1","±5.2","±2.7","","±5.2","±1.8","±1.8","±5.2","±5.2","±10.9","±10.9","±5.2","±5.2","±5.2","±5.2","±5.2","±153","","±5.3","±8.0","±2.6","±8.8","±5.3","±11.0","±5.3","±6.2","±7.2","±11.6","","±5.6","±11.3","±15.1","±8.8","±5.3","±5.3","±5.5","±2.3","±6.7","±5.0","","±156","±1.5","±9.9","±12.5","±10.8","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 9006.05, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,170","","90.2%","84.7%","5.5%","4.9%","0.6%","0.0%","1.03","3.3%","0.0%","0.9%","0.0%","5.7%","","100.0%","95.8%","4.2%","0.0%","100.0%","54.3%","45.7%","0.0%","0.0%","0.0%","0.0%","100.0%","2,047","","10.9%","4.7%","5.6%","22.9%","4.1%","19.9%","6.3%","5.7%","6.4%","13.5%","","10.2%","19.4%","31.6%","7.4%","0.9%","1.6%","0.9%","6.6%","21.4%","29.5","","2,170","0.0%","8.9%","71.4%","19.7%","","9.5%","12.0%","12.3%","15.0%","16.2%","3.4%"
"        Margin of Error","±402","","±3.9","±5.9","±4.7","±3.8","±1.2","±1.6","±0.03","±2.9","±1.6","±1.4","±1.6","±3.3","","±1.6","±3.5","±3.5","±1.6","±1.6","±9.3","±9.3","±1.6","±1.6","±1.6","±1.6","±1.6","±404","","±6.3","±4.9","±5.8","±10.7","±3.3","±7.2","±4.4","±5.4","±4.3","±7.4","","±4.3","±11.5","±12.4","±6.0","±1.6","±1.8","±1.5","±3.5","±9.2","±6.7","","±402","±1.6","±5.8","±13.7","±12.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,129","","94.9%","90.5%","4.3%","3.2%","1.2%","0.0%","1.02","2.3%","0.0%","1.7%","0.0%","1.2%","","100.0%","91.9%","8.1%","0.0%","100.0%","44.6%","55.4%","0.0%","0.0%","0.0%","0.0%","100.0%","1,116","","9.9%","5.2%","4.6%","28.8%","4.6%","19.6%","10.3%","5.9%","6.1%","5.1%","","7.9%","19.2%","33.2%","10.8%","1.6%","1.7%","1.6%","9.2%","14.9%","26.4","","1,129","0.0%","6.9%","71.0%","22.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±284","","±4.9","±6.6","±4.3","±3.6","±2.3","±3.0","±0.03","±3.9","±3.0","±2.6","±3.0","±1.9","","±3.0","±6.7","±6.7","±3.0","±3.0","±13.2","±13.2","±3.0","±3.0","±3.0","±3.0","±3.0","±285","","±8.3","±4.6","±8.0","±11.8","±4.5","±10.4","±8.1","±9.7","±5.3","±4.9","","±6.0","±11.1","±13.8","±9.4","±2.9","±2.7","±2.8","±5.5","±5.7","±4.0","","±284","±3.0","±6.0","±14.8","±14.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,041","","85.1%","78.3%","6.8%","6.8%","0.0%","0.0%","1.04","4.3%","0.0%","0.0%","0.0%","10.6%","","100.0%","100.0%","0.0%","0.0%","100.0%","64.9%","35.1%","0.0%","0.0%","0.0%","0.0%","100.0%","931","","12.1%","4.2%","6.9%","15.9%","3.5%","20.2%","1.4%","5.4%","6.8%","23.6%","","13.0%","19.7%","29.8%","3.4%","0.0%","1.4%","0.0%","3.4%","29.3%","33.2","","1,041","0.0%","11.0%","71.9%","17.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±226","","±8.1","±9.8","±6.6","±6.6","±3.3","±3.3","±0.04","±5.2","±3.3","±3.3","±3.3","±6.5","","±3.3","±3.3","±3.3","±3.3","±3.3","±15.7","±15.7","±3.3","±3.3","±3.3","±3.3","±3.3","±229","","±9.3","±6.5","±8.7","±14.1","±4.8","±14.1","±2.3","±5.2","±6.3","±13.0","","±7.8","±13.4","±17.2","±4.4","±3.7","±2.3","±3.7","±3.7","±17.1","±13.2","","±226","±3.3","±8.3","±16.3","±13.7","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 9006.06, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","991","","92.0%","84.2%","7.9%","3.2%","1.6%","3.0%","1.05","5.7%","0.0%","0.0%","1.1%","1.2%","","100.0%","83.1%","16.9%","0.0%","100.0%","57.9%","42.1%","0.0%","0.0%","0.0%","0.0%","100.0%","979","","13.5%","4.7%","2.6%","12.0%","1.9%","20.9%","2.1%","5.5%","1.7%","35.0%","","4.0%","4.6%","38.5%","20.4%","1.7%","2.7%","1.8%","3.4%","22.9%","35.3","","991","4.9%","32.9%","33.4%","28.8%","","5.7%","4.3%","7.8%","8.7%","8.7%","0.0%"
"        Margin of Error","±205","","±7.1","±8.7","±6.3","±5.0","±2.1","±3.2","±0.05","±5.4","±3.5","±3.5","±2.1","±1.8","","±3.5","±10.8","±10.8","±3.5","±3.5","±13.7","±13.7","±3.5","±3.5","±3.5","±3.5","±3.5","±208","","±7.4","±5.8","±2.4","±7.9","±2.4","±8.5","±2.4","±4.1","±2.9","±11.2","","±3.6","±3.9","±10.7","±11.0","±2.9","±2.6","±2.2","±3.2","±8.7","±7.5","","±205","±6.1","±13.6","±13.6","±13.7","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
